title,authors,keywords,abstract
,"Meyer, Lucas A.",,"Unlock the power of GenAI by effortlessly linking your C\# and Python apps with cutting-edge models, orchestrating diverse AI services with finesse, and crafting bespoke applications through immersive, real-world examplesKey FeaturesLink your C\# and Python applications with the latest AI models from OpenAICombine and orchestrate different AI services such as text and image generatorsCreate your own AI apps with real-world use case examples that show you how to use basic generative AI, create images, process documents, use a vector databasePurchase of the print or Kindle book includes a free PDF eBookBook DescriptionIn the fast-paced world of AI, developers are constantly seeking efficient ways to integrate AI capabilities into their apps. Microsoft Semantic Kernel simplifies this process by using the GenAI features from Microsoft and OpenAI. Written by Lucas A. Meyer, a Principal Research Scientist in Microsoft’s AI for Good Lab, this book helps you get hands on with Semantic Kernel. It begins by introducing you to different generative AI services such as GPT-3.5 and GPT-4, demonstrating their integration with Semantic Kernel. You’ll then learn to craft prompt templates for reuse across various AI services and variables. Next, you’ll learn how to add functionality to Semantic Kernel by creating your own plugins. The second part of the book shows you how to combine multiple plugins to execute complex actions, and how to let Semantic Kernel use its own AI to solve complex problems by calling plugins, including the ones made by you. The book concludes by teaching you how to use vector databases to expand the memory of your AI services and how to help AI remember the context of earlier requests. You’ll also be guided through several real-world examples of applications, such as RAG and custom GPT agents. By the end of this book, you'll have gained the knowledge you need to start using Semantic Kernel to add AI capabilities to your applications.What you will learnWrite reusable AI prompts and connect to different AI providersCreate new plugins that extend the capabilities of AI servicesUnderstand how to combine multiple plugins to execute complex actionsOrchestrate multiple AI services to accomplish a taskLeverage the powerful planner to automatically create appropriate AI callsUse vector databases as additional memory for your AI tasksDeploy your application to ChatGPT, making it available to hundreds of millions of usersWho this book is forThis book is for beginner-level to experienced .NET or Python software developers who want to quickly incorporate the latest AI technologies into their applications, without having to learn the details of every new AI service. Product managers with some development experience will find this book helpful while creating proof-of-concept applications. This book requires working knowledge of programming basics."
,"Barrett, Clark and Boyd, Brad and Bursztein, Elie and Carlini, Nicholas and Chen, Brad and Choi, Jihye and Roy Chowdhury, Amrita and Christodorescu, Mihai and Datta, Anupam and Feizi, Soheil and Fisher, Kathleen and Hashimoto, Tatsunori and Hendrycks, Dan and Jha, Somesh and Kang, Daniel and Kerschbaum, Florian and Mitchell, Eric and Mitchell, John and Ramzan, Zulfikar and Shams, Khawaja and Song, Dawn and Taly, Ankur and Yang, Diyi",Privacy and Security,"Every major technical invention resurfaces the dual-use dilemma — the new technology has the potential to be used for good as well as for harm. Generative AI (GenAI) techniques, such as large language models (LLMs) and diffusion models, have shown remarkable capabilities (e.g., in-context learning, code-completion, and text-to-image generation and editing). However, GenAI can be used just as well by attackers to generate new attacks and increase the velocity and efficacy of existing attacks. This monograph reports the findings of a workshop held at Google (co-organized by Stanford University and the University of Wisconsin-Madison) on the dual-use dilemma posed by GenAI. This work is not meant to be comprehensive, but is rather an attempt to synthesize some of the interesting findings from the workshop. Short-term and long-term goals for the community on this topic are discussed. This work should provide both a launching point for a discussion on this important topic, as well as interesting problems that the research community can work to address."
,"Turner-Williams, Wendy",,"Discover the transformative potential of AI for data-driven decision-making and fast-track your organization's growth journey with trusted AI implementationKey FeaturesGain comprehensive insights and analyses to make quick and accurate decisionsLearn to integrate trusted AI into your organizational workflows and decision-making processesExplore real-world case studies that showcase the transformative impact of AI in diverse industriesPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionWritten by a distinguished leader and innovator who has been instrumental in spearheading digital, cloud, and AI transformations across global brands, Unleashing the Power of Data with Trusted AI is an indispensable resource that will make you AI-ready. This comprehensive guide is designed to meet the urgent need for clarity and to give you actionable insights into today's rapidly evolving landscape of AI and its fundamental driver - data. You’ll delve into the exciting world of AI and its integration with data, uncover its significance, ethical considerations, and strategic applications with real-life success stories from industry giants like Starbucks, Netflix, and Siemens. You’ll also witness first-hand how the integration of data and AI has reshaped markets and elevated customer experiences, and discover the future of generative AI based on several surveys and case studies. You’ll gain an understanding of how AI has evolved across industries, empowering decision-making and fostering innovation. Tailored for board members, executives, innovators, and tech enthusiasts, this immersive guide will reshape your understanding of data and AI synergy. By the end of this guide, you’ll be able to lead your teams, customers, partners, and organizations confidently and responsibly in the era of AI.What you will learnNavigate ethical considerations and comply with data regulations effectivelyElevate data quality and enhance data literacy within your organizationCraft effective AI strategies for data analytics processesExplore real-world case studies showcasing the tangible benefits of trusted AIOptimize decision-making processes by harnessing AI-driven insightsWho this book is forThis report is for executives and board members of mid to large enterprises, such as CDAIOs, CTOs, CIOs, CISOs, CPOs, and CEOs, as well as AI, data, ethics, privacy, and security professionals. With this book, you’ll confidently develop your data and AI implementation strategy and navigate the complex landscape of emerging technologies with clarity."
,"Chollet, Francois",deep learning;python;machine learning;Keras;TensorFlow;computer vision;natural language processing;generative models,"Printed in full color! Unlock the groundbreaking advances of deep learning with this extensively revised new edition of the bestselling original. Learn directly from the creator of Keras and master practical Python deep learning techniques that are easy to apply in the real world. In Deep Learning with Python, Second Edition you will learn: Deep learning from first principles Image classification and image segmentation Timeseries forecasting Text classification and machine translation Text generation, neural style transfer, and image generation Printed in full color throughout Deep Learning with Python has taught thousands of readers how to put the full capabilities of deep learning into action. This extensively revised full color second edition introduces deep learning using Python and Keras, and is loaded with insights for both novice and experienced ML practitioners. You’ll learn practical techniques that are easy to apply in the real world, and important theory for perfecting neural networks."
,"Suda, Vijaya Kumar",,"Take your data preparation, machine learning, and GenAI skills to the next level by learning a range of Python algorithms and tools for data labelingKey FeaturesGenerate labels for regression in scenarios with limited training dataApply generative AI and large language models (LLMs) to explore and label text dataLeverage Python libraries for image, video, and audio data analysis and data labelingPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionData labeling is the invisible hand that guides the power of artificial intelligence and machine learning. In today’s data-driven world, mastering data labeling is not just an advantage, it’s a necessity. Data Labeling in Machine Learning with Python empowers you to unearth value from raw data, create intelligent systems, and influence the course of technological evolution. With this book, you'll discover the art of employing summary statistics, weak supervision, programmatic rules, and heuristics to assign labels to unlabeled training data programmatically. As you progress, you'll be able to enhance your datasets by mastering the intricacies of semi-supervised learning and data augmentation. Venturing further into the data landscape, you'll immerse yourself in the annotation of image, video, and audio data, harnessing the power of Python libraries such as seaborn, matplotlib, cv2, librosa, openai, and langchain. With hands-on guidance and practical examples, you'll gain proficiency in annotating diverse data types effectively. By the end of this book, you’ll have the practical expertise to programmatically label diverse data types and enhance datasets, unlocking the full potential of your data.What you will learnExcel in exploratory data analysis (EDA) for tabular, text, audio, video, and image dataUnderstand how to use Python libraries to apply rules to label raw dataDiscover data augmentation techniques for adding classification labelsLeverage K-means clustering to classify unsupervised dataExplore how hybrid supervised learning is applied to add labels for classificationMaster text data classification with generative AIDetect objects and classify images with OpenCV and YOLOUncover a range of techniques and resources for data annotationWho this book is forThis book is for machine learning engineers, data scientists, and data engineers who want to learn data labeling methods and algorithms for model training. Data enthusiasts and Python developers will be able to use this book to learn data exploration and annotation using Python libraries. Basic Python knowledge is beneficial but not necessary to get started."
,"Mukherjee, Amit and Saladi, Adithya and Casalaina, Marco",,"Build innovative, scalable, and ethical AI solutions by harnessing the full potential of generative AI with this exhaustive guideKey FeaturesExplore the capabilities of Azure OpenAI’s LLMsCraft end-to-end applications by utilizing the synergy of Azure OpenAI and Cognitive ServicesDesign enterprise-grade GenAI solutions with effective prompt engineering, fine-tuning, and AI safety measuresPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionFind out what makes Azure OpenAI a robust platform for building AI-driven solutions that can transform how businesses operate. Written by seasoned experts from Microsoft, this book will guide you in understanding Azure OpenAI from fundamentals through to advanced concepts and best practices. The book begins with an introduction to large language models (LLMs) and the Azure OpenAI Service, detailing how to access, use, and optimize its models. You'll learn how to design and implement AI-driven solutions, such as question-answering systems, contact center analytics, and GPT-powered search applications. Additionally, the chapters walk you through advanced concepts, including embeddings, fine-tuning models, prompt engineering, and building custom AI applications using LangChain and Semantic Kernel. You'll explore real-world use cases such as QnA systems, document summarizers, and SQLGPT for database querying, as well as gain insights into securing and operationalizing these solutions in enterprises. By the end of this book, you'll be ready to design, develop, and deploy scalable AI solutions, ensuring business success through intelligent automation and data-driven insights.What you will learnUnderstand the concept of large language models and their capabilitiesInteract with different models in Azure OpenAI using APIs or web interfacesUse content filters and mitigations to prevent harmful content generationDevelop solutions with Azure OpenAI for content generation, summarization, semantic search, NLU, code and image generation and analysisIntegrate Azure OpenAI with other Azure Cognitive services for enhanced functionalityApply best practices for data privacy, security, and prompt engineering with Azure OpenAIWho this book is forThis book is for software developers, data scientists, AI engineers, ML engineers, system architects, LLM engineers, IT professionals, product managers, and business professionals who want to learn how to use Azure OpenAI to create innovative solutions with generative AI. To fully benefit from this book, you must have both an Azure subscription and Azure OpenAI access, along with knowledge of Python."
,"Palmer, Rachelle and Perlmutter, Ben and Gangadhar, Ashwin and Larew, Nicholas and Narváez, Sigfrido and Rueckstiess, Thomas and Weller, Henry and Alake, Richmond and Ranjan, Shubham",,"Master retrieval-augmented generation architecture and fine-tune your AI stack, along with discovering real-world use cases and best practices to create powerful AI appsKey FeaturesGet to grips with the fundamentals of LLMs, vector databases, and Python frameworksImplement effective retrieval-augmented generation strategies with MongoDB AtlasOptimize AI models for performance and accuracy with model compression and deployment optimizationPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionThe era of generative AI is upon us, and this book serves as a roadmap to harness its full potential. With its help, you’ll learn the core components of the AI stack: large language models (LLMs), vector databases, and Python frameworks, and see how these technologies work together to create intelligent applications. The chapters will help you discover best practices for data preparation, model selection, and fine-tuning, and teach you advanced techniques such as retrieval-augmented generation (RAG) to overcome common challenges, such as hallucinations and data leakage. You’ll get a solid understanding of vector databases, implement effective vector search strategies, refine models for accuracy, and optimize performance to achieve impactful results. You’ll also identify and address AI failures to ensure your applications deliver reliable and valuable results. By evaluating and improving the output of LLMs, you’ll be able to enhance their performance and relevance. By the end of this book, you’ll be well-equipped to build sophisticated AI applications that deliver real-world value.What you will learnUnderstand the architecture and components of the generative AI stackExplore the role of vector databases in enhancing AI applicationsMaster Python frameworks for AI developmentImplement Vector Search in AI applicationsFind out how to effectively evaluate LLM outputOvercome common failures and challenges in AI developmentWho this book is forThis book is for software engineers and developers looking to build intelligent applications using generative AI. While the book is suitable for beginners, a basic understanding of Python programming is required to make the most of it."
,"Seyedsalehi, Shirin and Bigdeli, Amin and Arabzadeh, Negar and AlMousawi, Batool and Marshall, Zack and Zihayat, Morteza and Bagheri, Ebrahim",,"Gender bias is a pervasive issue that continues to influence various aspects of society, including the outcomes of information retrieval (IR) systems. As these systems become increasingly integral to accessing and navigating the vast amounts of information available today, the need to understand and mitigate gender bias within them is paramount. This monograph provides a comprehensive examination of the origins, manifestations, and consequences of gender bias in IR systems, as well as the current methodologies employed to address these biases. Theoretical frameworks surrounding gender and its representation in artificial intelligence (AI) systems are explored, particularly focusing on how traditional gender binaries are perpetuated and reinforced through data and algorithmic processes. Metrics and methodologies used to identify and measure gender bias within IR systems are then analyzed, offering a detailed evaluation of existing approaches and their limitations. Subsequent sections address the sources of gender bias, including biased input queries, retrieval methods, and gold standard datasets. Various data-driven and method-level debiasing strategies are presented, including techniques for debiasing neural embeddings and algorithmic approaches aimed at reducing bias in IR system outputs. The monograph concludes with a discussion of the challenges and limitations faced by current debiasing efforts and provides insights into future research directions that could lead to more equitable and inclusive IR systems. This monograph serves as a valuable resource for researchers, practitioners, and students in the fields of information retrieval, artificial intelligence, and data science, providing the knowledge and tools needed to address gender bias and contribute to the development of fair and unbiased information systems."
,"Keydana, Sigrid and Chollet, Francois and Kalinowski, Tomasz and Allaire, J.J.",,"Deep learning from the ground up using R and the powerful Keras library! In Deep Learning with R, Second Edition you will learn: Deep learning from first principles Image classification and image segmentation Time series forecasting Text classification and machine translation Text generation, neural style transfer, and image generation Deep Learning with R, Second Edition shows you how to put deep learning into action. It’s based on the revised new edition of François Chollet’s bestselling Deep Learning with Python. All code and examples have been expertly translated to the R language by Tomasz Kalinowski, who maintains the Keras and Tensorflow R packages at RStudio. Novices and experienced ML practitioners will love the expert insights, practical techniques, and important theory for building neural networks."
,"LeMaire, Chrissy and Abshire, Brandon",AI for IT;AI automation;workplace productivity;generative AI;ChatGPT for IT;IT help desk AI;automate IT tasks;prompt engineering;IT conflict resolution;AI for sysadmins;database administration AI;DevOps automation;AI-powered applications,"Automate and accelerate your everyday IT tasks with instant solutions! What if you never had to write another after-incident report, piece of boilerplate code, or a performance review from scratch ever again? Use AI tools like ChatGPT, Claude, Gemini, and Copilot right, and you’ll take back hours of your time—and more! AI for Everyday IT reveals how you can automate dozens of your daily IT tasks with generative AI. In AI for Everyday IT you’ll learn how to: Write effective prompts for common IT tasks Optimize report generation, document handling, and workplace communication Resolve IT conflicts and crises Acquire new skills and upgrade your resume AI for help desk, database administration and systems administration Incorporate AI into DevOps processes and create AI-powered applications Simplify time-consuming people management tasks In this hands-on guide, automation experts Chrissy LeMaire and Brandon Abshire show you how AI tools like ChatGPT have made their lives a million times easier, and how they can do the same for you. You’ll find proven strategies for using AI to improve help desk support, automate sysadmin and database tasks, aid with DevOps engineering, handle managing IT teams, and dozens more time-saving and quality-improving hacks."
,"Jha, Ashish Ranjan and Pillai, Dr. Gopinath",,"Master advanced techniques and algorithms for deep learning with PyTorch using real-world examplesKey FeaturesUnderstand how to use PyTorch 1.x to build advanced neural network modelsLearn to perform a wide range of tasks by implementing deep learning algorithms and techniquesGain expertise in domains such as computer vision, NLP, Deep RL, Explainable AI, and much moreBook DescriptionDeep learning is driving the AI revolution, and PyTorch is making it easier than ever before for anyone to build deep learning applications. This PyTorch book will help you uncover expert techniques to get the most out of your data and build complex neural network models. The book starts with a quick overview of PyTorch and explores using convolutional neural network (CNN) architectures for image classification. You'll then work with recurrent neural network (RNN) architectures and transformers for sentiment analysis. As you advance, you'll apply deep learning across different domains, such as music, text, and image generation using generative models and explore the world of generative adversarial networks (GANs). You'll not only build and train your own deep reinforcement learning models in PyTorch but also deploy PyTorch models to production using expert tips and techniques. Finally, you'll get to grips with training large models efficiently in a distributed manner, searching neural architectures effectively with AutoML, and rapidly prototyping models using PyTorch and fast.ai. By the end of this PyTorch book, you'll be able to perform complex deep learning tasks using PyTorch to build smart artificial intelligence models.What you will learnImplement text and music generating models using PyTorchBuild a deep Q-network (DQN) model in PyTorchExport universal PyTorch models using Open Neural Network Exchange (ONNX)Become well-versed with rapid prototyping using PyTorch with fast.aiPerform neural architecture search effectively using AutoMLEasily interpret machine learning (ML) models written in PyTorch using CaptumDesign ResNets, LSTMs, Transformers, and more using PyTorchFind out how to use PyTorch for distributed training using the torch.distributed APIWho this book is forThis book is for data scientists, machine learning researchers, and deep learning practitioners looking to implement advanced deep learning paradigms using PyTorch 1.x. Working knowledge of deep learning with Python programming is required."
,"Palczewski, Tomasz and Lee, Jaejun (Brandon) and Mookiah, Lenin",,"Supercharge your skills for developing powerful deep learning models and distributing them at scale efficiently using cloud servicesKey FeaturesUnderstand how to execute a deep learning project effectively using various tools availableLearn how to develop PyTorch and TensorFlow models at scale using Amazon Web ServicesExplore effective solutions to various difficulties that arise from model deploymentBook DescriptionMachine learning engineers, deep learning specialists, and data engineers encounter various problems when moving deep learning models to a production environment. The main objective of this book is to close the gap between theory and applications by providing a thorough explanation of how to transform various models for deployment and efficiently distribute them with a full understanding of the alternatives. First, you will learn how to construct complex deep learning models in PyTorch and TensorFlow. Next, you will acquire the knowledge you need to transform your models from one framework to the other and learn how to tailor them for specific requirements that deployment environments introduce. The book also provides concrete implementations and associated methodologies that will help you apply the knowledge you gain right away. You will get hands-on experience with commonly used deep learning frameworks and popular cloud services designed for data analytics at scale. Additionally, you will get to grips with the authors’ collective knowledge of deploying hundreds of AI-based services at a large scale. By the end of this book, you will have understood how to convert a model developed for proof of concept into a production-ready application optimized for a particular production setting.What you will learnUnderstand how to develop a deep learning model using PyTorch and TensorFlowConvert a proof-of-concept model into a production-ready applicationDiscover how to set up a deep learning pipeline in an efficient way using AWSExplore different ways to compress a model for various deployment requirementsDevelop Android and iOS applications that run deep learning on mobile devicesMonitor a system with a deep learning model in productionChoose the right system architecture for developing and deploying a modelWho this book is forMachine learning engineers, deep learning specialists, and data scientists will find this book helpful in closing the gap between the theory and application with detailed examples. Beginner-level knowledge in machine learning or software engineering will help you grasp the concepts covered in this book easily."
