raw,doi_sample,container_title,issn,publisher,venue_key,norm_raw,norm_key
IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2020.3044312,IEEE Transactions on Geoscience and Remote Sensing,0196-2892,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0196-2892,ieee trans geoscience and remote sensing,issn 0196 2892
IEEE Transactions on Industrial Informatics,10.1109/TII.2022.3226246,IEEE Transactions on Industrial Informatics,1551-3203,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1551-3203,ieee trans industrial informatics,issn 1551 3203
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2024.3439022,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1939-1404,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1939-1404,ieee  selected topics in applied earth observations and remote sensing,issn 1939 1404
"Toward Artificial General Intelligence: Deep Learning, Neural Networks, Generative AI",,,,,toward artificial general intelligence  deep learning  neural networks  generative ai,toward artificial general intelligence deep learning neural networks generative ai,toward artificial general intelligence deep learning neural networks generative ai
5th International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM 2023),10.1049/icp.2023.2968,IET Conference Proceedings,2732-4494,Institution of Engineering and Technology (IET),ISSN:2732-4494,5th international conference on artificial intelligence and advanced manufacturing,issn 2732 4494
2023 IEEE International Conference on Multimedia and Expo (ICME),10.1109/ICME55011.2023.00094,2023 IEEE International Conference on Multimedia and Expo (ICME),,IEEE,2023 ieee international conference on multimedia and expo,2023 ieee international conference on multimedia and expo,2023 ieee international conference on multimedia and expo
2024 6th International Conference on Computer Science and Technologies in Education (CSTE),10.1109/CSTE62025.2024.00031,2024 6th International Conference on Computer Science and Technologies in Education (CSTE),,IEEE,2024 6th international conference on computer science and technologies in education  cste,2024 6th international conference on computer science and technologies in education,2024 6th international conference on computer science and technologies in education cste
"2023 IEEE 22nd International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",10.1109/TrustCom60117.2023.00297,"2023 IEEE 22nd International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",,IEEE,2023 ieee 22nd international conference on trust security and privacy in computing and communications,2023 ieee 22nd international conference on trust security and privacy in computing and communications,2023 ieee 22nd international conference on trust security and privacy in computing and communications
2024 IEEE Global Engineering Education Conference (EDUCON),10.1109/EDUCON60312.2024.10578788,2024 IEEE Global Engineering Education Conference (EDUCON),,IEEE,2024 ieee global engineering education conference,2024 ieee global engineering education conference,2024 ieee global engineering education conference
2024 Joint 13th International Conference on Soft Computing and Intelligent Systems and 25th International Symposium on Advanced Intelligent Systems (SCIS\&ISIS),10.1109/SCISISIS61014.2024.10759962,2024 Joint 13th International Conference on Soft Computing and Intelligent Systems and 25th International Symposium on Advanced Intelligent Systems (SCIS&amp;amp;ISIS),,IEEE,2024 joint 13th international conference on soft computing and intelligent systems and 25th international symposium on advanced intelligent systems  scis amp amp isis,2024 joint 13th international conference on soft computing and intelligent systems and 25th international symposium on advanced intelligent systems,2024 joint 13th international conference on soft computing and intelligent systems and 25th international symposium on advanced intelligent systems scis amp amp isis
2024 12th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW),10.1109/ACIIW63320.2024.00030,2024 12th International Conference on Affective Computing and Intelligent Interaction Workshops and Demos (ACIIW),,IEEE,2024 12th international conference on affective computing and intelligent interaction workshops and demos  aciiw,2024 12th international conference on affective computing and intelligent interaction workshops and demos,2024 12th international conference on affective computing and intelligent interaction workshops and demos aciiw
2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),10.1109/ICBC64466.2025.11114593,2025 IEEE International Conference on Blockchain and Cryptocurrency (ICBC),,IEEE,2025 ieee international conference on blockchain and cryptocurrency,2025 ieee international conference on blockchain and cryptocurrency,2025 ieee international conference on blockchain and cryptocurrency
Computer,10.1109/MC.2024.3524302,Computer,0018-9162,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0018-9162,computer,issn 0018 9162
IEEE Communications Magazine,10.1109/MCOM.001.2400284,IEEE Communications Magazine,0163-6804,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0163-6804,ieee communications magazine,issn 0163 6804
"2025 IEEE International Conference on Pattern Recognition, Machine Vision and Artificial Intelligence (PRMVAI)",10.1109/PRMVAI65741.2025.11108609,"2025 IEEE International Conference on Pattern Recognition, Machine Vision and Artificial Intelligence (PRMVAI)",,IEEE,2025 ieee international conference on pattern recognition machine vision and artificial intelligence,2025 ieee international conference on pattern recognition machine vision and artificial intelligence,2025 ieee international conference on pattern recognition machine vision and artificial intelligence
"2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)",10.1109/ICMCCE51767.2020.00326,"2020 5th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)",,IEEE,2020 5th international conference on mechanical  control and computer engineering  icmcce,2020 5th international conference on mechanical control and computer engineering,2020 5th international conference on mechanical control and computer engineering icmcce
IEEE Transactions on Dependable and Secure Computing,10.1109/TDSC.2025.3572115,IEEE Transactions on Dependable and Secure Computing,1545-5971,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1545-5971,ieee trans dependable and secure computing,issn 1545 5971
"2025 International Conference on Software, Knowledge, Information Management \& Applications (SKIMA)",10.1109/SKIMA66621.2025.11155671,"2025 International Conference on Software, Knowledge, Information Management &amp;amp; Applications (SKIMA)",,IEEE,2025 international conference on software  knowledge  information management  amp amp  applications  skima,2025 international conference on software knowledge information management applications,2025 international conference on software knowledge information management amp amp applications skima
6th International Conference on Artificial Intelligence and Advanced Manufacturing (AIAM 2024),10.1049/icp.2024.4190,IET Conference Proceedings,2732-4494,Institution of Engineering and Technology (IET),ISSN:2732-4494,6th international conference on artificial intelligence and advanced manufacturing,issn 2732 4494
IEEE Transactions on Instrumentation and Measurement,10.1109/TIM.2020.3017036,IEEE Transactions on Instrumentation and Measurement,0018-9456,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0018-9456,ieee trans instrumentation and measurement,issn 0018 9456
"IEEE Transactions on Biometrics, Behavior, and Identity Science",10.1109/TBIOM.2023.3346938,"IEEE Transactions on Biometrics, Behavior, and Identity Science",2637-6407,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2637-6407,ieee trans biometrics behavior and identity science,issn 2637 6407
"2023 5th International Conference on Robotics, Intelligent Control and Artificial Intelligence (RICAI)",10.1109/RICAI60863.2023.10489368,"2023 5th International Conference on Robotics, Intelligent Control and Artificial Intelligence (RICAI)",,IEEE,2023 5th international conference on robotics  intelligent control and artificial intelligence  ricai,2023 5th international conference on robotics intelligent control and artificial intelligence,2023 5th international conference on robotics intelligent control and artificial intelligence ricai
"2025 International Conference on Intelligent Control, Computing and Communications (IC3)",10.1109/IC363308.2025.10956665,"2025 International Conference on Intelligent Control, Computing and Communications (IC3)",,IEEE,2025 international conference on intelligent control  computing and communications  ic3,2025 international conference on intelligent control computing and communications,2025 international conference on intelligent control computing and communications ic3
2024 Second International Conference Computational and Characterization Techniques in Engineering \& Sciences (IC3TES),10.1109/IC3TES62412.2024.10877597,2024 Second International Conference Computational and Characterization Techniques in Engineering &amp;amp; Sciences (IC3TES),,IEEE,2024 second international conference computational and characterization techniques in engineering  amp amp  sciences  ic3tes,2024 second international conference computational and characterization techniques in engineering sciences,2024 second international conference computational and characterization techniques in engineering amp amp sciences ic3tes
IEEE Transactions on Cybernetics,10.1109/TCYB.2021.3062396,IEEE Transactions on Cybernetics,2168-2267,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2168-2267,ieee trans cybernetics,issn 2168 2267
2020 IEEE 18th International Conference on Industrial Informatics (INDIN),10.1109/INDIN45582.2020.9442206,2020 IEEE 18th International Conference on Industrial Informatics (INDIN),,IEEE,2020 ieee 18th international conference on industrial informatics,2020 ieee 18th international conference on industrial informatics,2020 ieee 18th international conference on industrial informatics
2024 2nd International Conference on Sustainable Computing and Smart Systems (ICSCSS),10.1109/ICSCSS60660.2024.10625113,2024 2nd International Conference on Sustainable Computing and Smart Systems (ICSCSS),,IEEE,2024 2nd international conference on sustainable computing and smart systems  icscss,2024 2nd international conference on sustainable computing and smart systems,2024 2nd international conference on sustainable computing and smart systems icscss
2024 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN60899.2024.10649956,2024 International Joint Conference on Neural Networks (IJCNN),,IEEE,2024 international joint conference on neural networks  ijcnn,2024 international joint conference on neural networks,2024 international joint conference on neural networks ijcnn
2024 7th International Conference on Artificial Intelligence and Big Data (ICAIBD),10.1109/ICAIBD62003.2024.10604540,2024 7th International Conference on Artificial Intelligence and Big Data (ICAIBD),,IEEE,2024 7th international conference on artificial intelligence and big data  icaibd,2024 7th international conference on artificial intelligence and big data,2024 7th international conference on artificial intelligence and big data icaibd
2021 International Conference on Computer Communication and Informatics (ICCCI),10.1109/ICCCI50826.2021.9402449,2021 International Conference on Computer Communication and Informatics (ICCCI),,IEEE,2021 international conference on computer communication and informatics  iccci,2021 international conference on computer communication and informatics,2021 international conference on computer communication and informatics iccci
IEEE Spectrum,10.1109/MSPEC.2023.10309274,IEEE Spectrum,0018-9235,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0018-9235,ieee spectrum,issn 0018 9235
2025 19th International Conference on Semantic Computing (ICSC),10.1109/ICSC64641.2025.00053,2025 19th International Conference on Semantic Computing (ICSC),,IEEE,2025 19th international conference on semantic computing  icsc,2025 19th international conference on semantic computing,2025 19th international conference on semantic computing icsc
2023 IEEE 6th International Electrical and Energy Conference (CIEEC),10.1109/CIEEC58067.2023.10166608,2023 IEEE 6th International Electrical and Energy Conference (CIEEC),,IEEE,2023 ieee 6th international electrical and energy conference,2023 ieee 6th international electrical and energy conference,2023 ieee 6th international electrical and energy conference
"Generative AI, Cybersecurity, and Ethics",10.1002/9781394279326.ch11,Big Goals,,Wiley,big goals,generative ai cybersecurity and ethics,big goals
"2024 IEEE Ultrasonics, Ferroelectrics, and Frequency Control Joint Symposium (UFFC-JS)",10.1109/UFFC-JS60046.2024.10793762,"2024 IEEE Ultrasonics, Ferroelectrics, and Frequency Control Joint Symposium (UFFC-JS)",,IEEE,2024 ieee ultrasonics ferroelectrics and frequency control joint symposium,2024 ieee ultrasonics ferroelectrics and frequency control joint symposium,2024 ieee ultrasonics ferroelectrics and frequency control joint symposium
2024 International Conference on Integrated Circuits and Communication Systems (ICICACS),10.1109/ICICACS60521.2024.10498169,2024 International Conference on Integrated Circuits and Communication Systems (ICICACS),,IEEE,2024 international conference on integrated circuits and communication systems  icicacs,2024 international conference on integrated circuits and communication systems,2024 international conference on integrated circuits and communication systems icicacs
2021 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),10.1109/AIEA53260.2021.00079,2021 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),,IEEE,2021 international conference on artificial intelligence and electromechanical automation  aiea,2021 international conference on artificial intelligence and electromechanical automation,2021 international conference on artificial intelligence and electromechanical automation aiea
"2024 8th International Conference on Computing, Communication, Control and Automation (ICCUBEA)",10.1109/ICCUBEA61740.2024.10774771,"2024 8th International Conference on Computing, Communication, Control and Automation (ICCUBEA)",,IEEE,2024 8th international conference on computing  communication  control and automation  iccubea,2024 8th international conference on computing communication control and automation,2024 8th international conference on computing communication control and automation iccubea
2025 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET),10.1109/WiSPNET64060.2025.11005231,2025 International Conference on Wireless Communications Signal Processing and Networking (WiSPNET),,IEEE,2025 international conference on wireless communications signal processing and networking  wispnet,2025 international conference on wireless communications signal processing and networking,2025 international conference on wireless communications signal processing and networking wispnet
"2024 3rd International Conference on Artificial Intelligence, Human-Computer Interaction and Robotics (AIHCIR)",10.1109/AIHCIR65563.2024.00013,"2024 3rd International Conference on Artificial Intelligence, Human-Computer Interaction and Robotics (AIHCIR)",,IEEE,2024 3rd international conference on artificial intelligence  human computer interaction and robotics  aihcir,2024 3rd international conference on artificial intelligence human computer interaction and robotics,2024 3rd international conference on artificial intelligence human computer interaction and robotics aihcir
2025 13th Asia-Pacific International Conference on Lightning (APL),10.1109/APL65034.2025.11108954,2025 13th Asia-Pacific International Conference on Lightning (APL),,IEEE,2025 13th asia pacific international conference on lightning  apl,2025 13th asia pacific international conference on lightning,2025 13th asia pacific international conference on lightning apl
2024 IEEE 20th International Conference on e-Science (e-Science),10.1109/e-Science62913.2024.10678704,2024 IEEE 20th International Conference on e-Science (e-Science),,IEEE,2024 ieee 20th international conference on e science,2024 ieee 20th international conference on e science,2024 ieee 20th international conference on e science
"2025 1st International Conference on Secure IoT, Assured and Trusted Computing (SATC)",10.1109/SATC65530.2025.11137298,"2025 1st International Conference on Secure IoT, Assured and Trusted Computing (SATC)",,IEEE,2025 1st international conference on secure iot  assured and trusted computing  satc,2025 1st international conference on secure iot assured and trusted computing,2025 1st international conference on secure iot assured and trusted computing satc
2024 9th International Conference on Intelligent Computing and Signal Processing (ICSP),10.1109/ICSP62122.2024.10743442,2024 9th International Conference on Intelligent Computing and Signal Processing (ICSP),,IEEE,2024 9th international conference on intelligent computing and signal processing  icsp,2024 9th international conference on intelligent computing and signal processing,2024 9th international conference on intelligent computing and signal processing icsp
2024 IEEE Technology \& Engineering Management Conference - Asia Pacific (TEMSCON-ASPAC),10.1109/TEMSCON-ASPAC62480.2024.11025027,2024 IEEE Technology &amp;amp; Engineering Management Conference - Asia Pacific (TEMSCON-ASPAC),,IEEE,2024 ieee technology amp amp engineering management conference asia pacific,2024 ieee technology engineering management conference asia pacific,2024 ieee technology amp amp engineering management conference asia pacific
GenAI on AWS: A Practical Approach to Building Generative AI Applications on AWS,,,,,genai on aws  a practical approach to building generative ai applications on aws,genai on aws a practical approach to building generative ai applications on aws,genai on aws a practical approach to building generative ai applications on aws
2024 IEEE International Conference on Medical Artificial Intelligence (MedAI),10.1109/MedAI62885.2024.00089,2024 IEEE International Conference on Medical Artificial Intelligence (MedAI),,IEEE,2024 ieee international conference on medical artificial intelligence,2024 ieee international conference on medical artificial intelligence,2024 ieee international conference on medical artificial intelligence
2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS),10.1109/ICMLAS64557.2025.10968513,2025 International Conference on Machine Learning and Autonomous Systems (ICMLAS),,IEEE,2025 international conference on machine learning and autonomous systems  icmlas,2025 international conference on machine learning and autonomous systems,2025 international conference on machine learning and autonomous systems icmlas
2025 IEEE Zooming Innovation in Consumer Technologies Conference (ZINC),10.1109/ZINC65316.2025.11100283,2025 IEEE Zooming Innovation in Consumer Technologies Conference (ZINC),,IEEE,2025 ieee zooming innovation in consumer technologies conference,2025 ieee zooming innovation in consumer technologies conference,2025 ieee zooming innovation in consumer technologies conference
2024 7th International Conference on Contemporary Computing and Informatics (IC3I),10.1109/IC3I61595.2024.10828732,2024 7th International Conference on Contemporary Computing and Informatics (IC3I),,IEEE,2024 7th international conference on contemporary computing and informatics  ic3i,2024 7th international conference on contemporary computing and informatics,2024 7th international conference on contemporary computing and informatics ic3i
2025 International Conference on Computing and Communication Technologies (ICCCT),10.1109/ICCCT63501.2025.11019305,2025 International Conference on Computing and Communication Technologies (ICCCT),,IEEE,2025 international conference on computing and communication technologies  iccct,2025 international conference on computing and communication technologies,2025 international conference on computing and communication technologies iccct
2023 22nd RoEduNet Conference: Networking in Education and Research (RoEduNet),10.1109/RoEduNet60162.2023.10274928,2023 22nd RoEduNet Conference: Networking in Education and Research (RoEduNet),,IEEE,2023 22nd roedunet conference  networking in education and research  roedunet,2023 22nd roedunet conference networking in education and research,2023 22nd roedunet conference networking in education and research roedunet
IEEE Sensors Journal,10.1109/JSEN.2025.3538320,IEEE Sensors Journal,1530-437X,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1530-437X,ieee sensors journal,issn 1530 437x
2020 International Conference on Artificial Intelligence and Computer Engineering (ICAICE),10.1109/ICAICE51518.2020.00071,2020 International Conference on Artificial Intelligence and Computer Engineering (ICAICE),,IEEE,2020 international conference on artificial intelligence and computer engineering  icaice,2020 international conference on artificial intelligence and computer engineering,2020 international conference on artificial intelligence and computer engineering icaice
"2022 2nd International Conference on Big Data, Artificial Intelligence and Risk Management (ICBAR)",10.1109/ICBAR58199.2022.00019,"2022 2nd International Conference on Big Data, Artificial Intelligence and Risk Management (ICBAR)",,IEEE,2022 2nd international conference on big data  artificial intelligence and risk management  icbar,2022 2nd international conference on big data artificial intelligence and risk management,2022 2nd international conference on big data artificial intelligence and risk management icbar
2024 2nd International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS),10.1109/ICSSAS64001.2024.10760979,2024 2nd International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS),,IEEE,2024 2nd international conference on self sustainable artificial intelligence systems  icssas,2024 2nd international conference on self sustainable artificial intelligence systems,2024 2nd international conference on self sustainable artificial intelligence systems icssas
2025 International Conference on Electrical Automation and Artificial Intelligence (ICEAAI),10.1109/ICEAAI64185.2025.10957177,2025 International Conference on Electrical Automation and Artificial Intelligence (ICEAAI),,IEEE,2025 international conference on electrical automation and artificial intelligence  iceaai,2025 international conference on electrical automation and artificial intelligence,2025 international conference on electrical automation and artificial intelligence iceaai
"2024 International Conference on Sensing, Measurement \& Data Analytics in the era of Artificial Intelligence (ICSMD)",10.1109/ICSMD64214.2024.10920590,"2024 International Conference on Sensing, Measurement &amp;amp; Data Analytics in the era of Artificial Intelligence (ICSMD)",,IEEE,2024 international conference on sensing  measurement  amp amp  data analytics in the era of artificial intelligence  icsmd,2024 international conference on sensing measurement data analytics in the era of artificial intelligence,2024 international conference on sensing measurement amp amp data analytics in the era of artificial intelligence icsmd
2024 4th International Symposium on Artificial Intelligence and Intelligent Manufacturing (AIIM),10.1109/AIIM64537.2024.10934534,2024 4th International Symposium on Artificial Intelligence and Intelligent Manufacturing (AIIM),,IEEE,2024 4th international symposium on artificial intelligence and intelligent manufacturing  aiim,2024 4th international symposium on artificial intelligence and intelligent manufacturing,2024 4th international symposium on artificial intelligence and intelligent manufacturing aiim
2021 2nd International Conference on Artificial Intelligence and Computer Engineering (ICAICE),10.1109/ICAICE54393.2021.00156,2021 2nd International Conference on Artificial Intelligence and Computer Engineering (ICAICE),,IEEE,2021 2nd international conference on artificial intelligence and computer engineering  icaice,2021 2nd international conference on artificial intelligence and computer engineering,2021 2nd international conference on artificial intelligence and computer engineering icaice
"2024 5th International Conference on Computer, Big Data and Artificial Intelligence (ICCBD+AI)",10.1109/ICCBD-AI65562.2024.00057,"2024 5th International Conference on Computer, Big Data and Artificial Intelligence (ICCBD+AI)",,IEEE,2024 5th international conference on computer  big data and artificial intelligence  iccbd ai,2024 5th international conference on computer big data and artificial intelligence,2024 5th international conference on computer big data and artificial intelligence iccbd ai
2022 5th International Conference on Pattern Recognition and Artificial Intelligence (PRAI),10.1109/PRAI55851.2022.9904077,2022 5th International Conference on Pattern Recognition and Artificial Intelligence (PRAI),,IEEE,2022 5th international conference on pattern recognition and artificial intelligence  prai,2022 5th international conference on pattern recognition and artificial intelligence,2022 5th international conference on pattern recognition and artificial intelligence prai
2025 6th International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),10.1109/AIEA66061.2025.11160513,2025 6th International Conference on Artificial Intelligence and Electromechanical Automation (AIEA),,IEEE,2025 6th international conference on artificial intelligence and electromechanical automation  aiea,2025 6th international conference on artificial intelligence and electromechanical automation,2025 6th international conference on artificial intelligence and electromechanical automation aiea
2024 8th Asian Conference on Artificial Intelligence Technology (ACAIT),10.1109/ACAIT63902.2024.11022295,2024 8th Asian Conference on Artificial Intelligence Technology (ACAIT),,IEEE,2024 8th asian conference on artificial intelligence technology  acait,2024 8th asian conference on artificial intelligence technology,2024 8th asian conference on artificial intelligence technology acait
"2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",10.1109/ICIBA56860.2023.10165280,"2023 IEEE 3rd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",,IEEE,2023 ieee 3rd international conference on information technology big data and artificial intelligence,2023 ieee 3rd international conference on information technology big data and artificial intelligence,2023 ieee 3rd international conference on information technology big data and artificial intelligence
"2025 3rd International Conference on Communication, Security, and Artificial Intelligence (ICCSAI)",10.1109/ICCSAI64074.2025.11064529,"2025 3rd International Conference on Communication, Security, and Artificial Intelligence (ICCSAI)",,IEEE,2025 3rd international conference on communication  security  and artificial intelligence  iccsai,2025 3rd international conference on communication security and artificial intelligence,2025 3rd international conference on communication security and artificial intelligence iccsai
2024 20th CSI International Symposium on Artificial Intelligence and Signal Processing (AISP),10.1109/AISP61396.2024.10475264,2024 20th CSI International Symposium on Artificial Intelligence and Signal Processing (AISP),,IEEE,2024 20th csi international symposium on artificial intelligence and signal processing  aisp,2024 20th csi international symposium on artificial intelligence and signal processing,2024 20th csi international symposium on artificial intelligence and signal processing aisp
2020 IEEE 32nd International Conference on Tools with Artificial Intelligence (ICTAI),10.1109/ICTAI50040.2020.00104,2020 IEEE 32nd International Conference on Tools with Artificial Intelligence (ICTAI),,IEEE,2020 ieee 32nd international conference on tools with artificial intelligence,2020 ieee 32nd international conference on tools with artificial intelligence,2020 ieee 32nd international conference on tools with artificial intelligence
"2021 IEEE 2nd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",10.1109/ICIBA52610.2021.9688141,"2021 IEEE 2nd International Conference on Information Technology, Big Data and Artificial Intelligence (ICIBA)",,IEEE,2021 ieee 2nd international conference on information technology big data and artificial intelligence,2021 ieee 2nd international conference on information technology big data and artificial intelligence,2021 ieee 2nd international conference on information technology big data and artificial intelligence
2022 Second International Conference on Artificial Intelligence and Smart Energy (ICAIS),10.1109/ICAIS53314.2022.9743093,2022 Second International Conference on Artificial Intelligence and Smart Energy (ICAIS),,IEEE,2022 second international conference on artificial intelligence and smart energy  icais,2022 second international conference on artificial intelligence and smart energy,2022 second international conference on artificial intelligence and smart energy icais
2024 6th International Conference on Industrial Artificial Intelligence (IAI),10.1109/IAI63275.2024.10730244,2024 6th International Conference on Industrial Artificial Intelligence (IAI),,IEEE,2024 6th international conference on industrial artificial intelligence  iai,2024 6th international conference on industrial artificial intelligence,2024 6th international conference on industrial artificial intelligence iai
"2024 4th International Conference on Artificial Intelligence, Virtual Reality and Visualization",10.1109/AIVRV63595.2024.10860191,"2024 4th International Conference on Artificial Intelligence, Virtual Reality and Visualization",,IEEE,2024 4th international conference on artificial intelligence  virtual reality and visualization,2024 4th international conference on artificial intelligence virtual reality and visualization,2024 4th international conference on artificial intelligence virtual reality and visualization
2025 7th International Conference on Intelligent Sustainable Systems (ICISS),10.1109/ICISS63372.2025.11076342,2025 7th International Conference on Intelligent Sustainable Systems (ICISS),,IEEE,2025 7th international conference on intelligent sustainable systems  iciss,2025 7th international conference on intelligent sustainable systems,2025 7th international conference on intelligent sustainable systems iciss
IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2024.3432649,IEEE Journal of Biomedical and Health Informatics,2168-2194,Institute of Electrical and Electronics Engineers (IEEE),ISSN:2168-2194,ieee  biomedical and health informatics,issn 2168 2194
2025 IST-Africa Conference (IST-Africa),10.23919/IST-Africa67297.2025.11060533,2025 IST-Africa Conference (IST-Africa),,IEEE,2025 ist africa conference  ist africa,2025 ist africa conference,2025 ist africa conference ist africa
"2024 International Conference on Electronics, Information, and Communication (ICEIC)",10.1109/ICEIC61013.2024.10457279,"2024 International Conference on Electronics, Information, and Communication (ICEIC)",,IEEE,2024 international conference on electronics  information  and communication  iceic,2024 international conference on electronics information and communication,2024 international conference on electronics information and communication iceic
2024 IEEE International Workshop on Information Forensics and Security (WIFS),10.1109/WIFS61860.2024.10810680,2024 IEEE International Workshop on Information Forensics and Security (WIFS),,IEEE,2024 ieee international workshop on information forensics and security,2024 ieee international workshop on information forensics and security,2024 ieee international workshop on information forensics and security
2024 IEEE International Conference on Electro Information Technology (eIT),10.1109/eIT60633.2024.10609905,2024 IEEE International Conference on Electro Information Technology (eIT),,IEEE,2024 ieee international conference on electro information technology,2024 ieee international conference on electro information technology,2024 ieee international conference on electro information technology
2019 IEEE 31st International Conference on Tools with Artificial Intelligence (ICTAI),10.1109/ICTAI.2019.00261,2019 IEEE 31st International Conference on Tools with Artificial Intelligence (ICTAI),,IEEE,2019 ieee 31st international conference on tools with artificial intelligence,2019 ieee 31st international conference on tools with artificial intelligence,2019 ieee 31st international conference on tools with artificial intelligence
2024 Artificial Intelligence Revolutions (AIR),10.1109/AIR63653.2024.00015,2024 Artificial Intelligence Revolutions (AIR),,IEEE,2024 artificial intelligence revolutions  air,2024 artificial intelligence revolutions,2024 artificial intelligence revolutions air
Coding with AI For Dummies,,,,,coding with ai for dummies,coding with ai for dummies,coding with ai for dummies
2024 International Conference on Advanced Technologies for Communications (ATC),10.1109/ATC63255.2024.10908263,2024 International Conference on Advanced Technologies for Communications (ATC),,IEEE,2024 international conference on advanced technologies for communications  atc,2024 international conference on advanced technologies for communications,2024 international conference on advanced technologies for communications atc
2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),10.1109/ICACITE53722.2022.9823913,2022 2nd International Conference on Advance Computing and Innovative Technologies in Engineering (ICACITE),,IEEE,2022 2nd international conference on advance computing and innovative technologies in engineering  icacite,2022 2nd international conference on advance computing and innovative technologies in engineering,2022 2nd international conference on advance computing and innovative technologies in engineering icacite
IEEE Transactions on Evolutionary Computation,10.1109/TEVC.2024.3506731,IEEE Transactions on Evolutionary Computation,1089-778X,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1089-778X,ieee trans evolutionary computation,issn 1089 778x
IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/TNSRE.2025.3570383,IEEE Transactions on Neural Systems and Rehabilitation Engineering,1534-4320,Institute of Electrical and Electronics Engineers (IEEE),ISSN:1534-4320,ieee trans neural systems and rehabilitation engineering,issn 1534 4320
"2023 IEEE International Conference on E-health Networking, Application \& Services (Healthcom)",10.1109/Healthcom56612.2023.10472376,"2023 IEEE International Conference on E-health Networking, Application &amp;amp; Services (Healthcom)",,IEEE,2023 ieee international conference on e health networking application amp amp services,2023 ieee international conference on e health networking application services,2023 ieee international conference on e health networking application amp amp services
2024 14th International Conference on Information Technology in Medicine and Education (ITME),10.1109/ITME63426.2024.00142,2024 14th International Conference on Information Technology in Medicine and Education (ITME),,IEEE,2024 14th international conference on information technology in medicine and education  itme,2024 14th international conference on information technology in medicine and education,2024 14th international conference on information technology in medicine and education itme
IEEE Transactions on Pattern Analysis and Machine Intelligence,10.1109/TPAMI.2025.3591018,IEEE Transactions on Pattern Analysis and Machine Intelligence,0162-8828,Institute of Electrical and Electronics Engineers (IEEE),ISSN:0162-8828,ieee trans pattern analysis and machine intelligence,issn 0162 8828
2024 IEEE Conference on Engineering Informatics (ICEI),10.1109/ICEI64305.2024.10912343,2024 IEEE Conference on Engineering Informatics (ICEI),,IEEE,2024 ieee conference on engineering informatics,2024 ieee conference on engineering informatics,2024 ieee conference on engineering informatics
"2023 15th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",10.1109/ECAI58194.2023.10193894,"2023 15th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)",,IEEE,2023 15th international conference on electronics  computers and artificial intelligence  ecai,2023 15th international conference on electronics computers and artificial intelligence,2023 15th international conference on electronics computers and artificial intelligence ecai
Brain Networks in Neuroscience: Personalization Unveiled Via Artificial Intelligence,,,,,brain networks in neuroscience  personalization unveiled via artificial intelligence,brain networks in neuroscience personalization unveiled via artificial intelligence,brain networks in neuroscience personalization unveiled via artificial intelligence
2025 5th International Conference on Intelligent Technologies (CONIT),10.1109/CONIT65521.2025.11167566,2025 5th International Conference on Intelligent Technologies (CONIT),,IEEE,2025 5th international conference on intelligent technologies  conit,2025 5th international conference on intelligent technologies,2025 5th international conference on intelligent technologies conit
